HAS_NOT_LOVER;Ã»ÓÐÇéÈË;;;;;;;;;;X
HAS_LOVER;ÓÐÇéÈË;;;;;;;;;;X
FAM_IN_LAWS;ÒöÇ×¹ØÏµ;;;;;;;;;;X
REL_LOVER;ÇéÈË;;;;;;;;;;X
TRIGGER_LOVER;ÇéÈË;;;;;;;;;;X
BREAK_AFFAIR_EFFECT;$WHO$Óë§Y$SPOUSE$§W·ÖÊÖ¡£\n;;;;;;;;;;X
ADD_LOVER_EFFECT;$WHO$Óë§Y$SPOUSE$§W¶éÈë°®ºÓ¡£\n;;;;;;;;;;X
EVTDESC3315;ÎÒÔÚÒ¹Àï¼â½Ð×ÅÐÑÀ´¡£ºÚ°µÁîÎÒ¿Ö¾å£¬ÎÒÖ¹²»×¡»³ÒÉÎÒ»¹ÄÜÔÚÕâ³¡Õ½ÒÛÖÐÖ§³Ö¶à¾Ã¡£;;;;;;;;;;X
EVTOPTA3315;ÎÒ¾õµÃÓÐÈËÌýµ½ÁË;;;;;;;;;;X
EVTOPTB3315;ÎÒµÄÊ¿±ø½«²»ÔÙ×ðÖØÎÒ¡£;;;;;;;;;;X
EVTDESC60004;´óº¹ÅÉ³öÁË¸ü¶àÓÂÊ¿Ð­ÖúÎÒÃÇµÄÕ÷·þ£¡;;;;;;;;;;X
EVTOPTA40021;ÎÒ»á¸ø[From.GetObjectPronoun]¶ÔÐÐÐ×ÕßÍ·ÏÎµÄÐû³ÆÈ¨¡£;;;;;;;;;;X
SETTLEMENT_YOUNGER_THAN;µØ²úÀúÊ·ÉÙÓÚ$AGE$Äê¡£\n;;;;;;;;;;X
SETTLEMENT_AT_LEAST;µØ²úÀúÊ·ÖÁÉÙ$AGE$Äê¡£\n;;;;;;;;;;X
AIREASON_IS_GUARDIANS_CHILD;¼à»¤ÈËÊÇ§Y[GetTitledFirstName]§!µÄ¸¸Ä¸;;;;;;;;;;X
RELEASE_FROM_PRISON_INTERACTION_0;ÊÍ·Å§Y[Recipient.GetBestName]§!³öÓü¡£;;;;;;;;;;X
RELEASE_FROM_PRISON_INTERACTION_1;ÄãµÄ·â³¼»áÎªÄãµÄ¿í´óÎª»³Ëù¸Ð¶¯£¬Ìá¸ß¶ÔÄãµÄºÃ¸Ð§G$VAL$§!¡£;;;;;;;;;;X
TITLED_NAME_W_NICK;$HOLDING$ $TITLE$ $NAME$ ¡°$NICK$¡±;;;;;;;;;;X
city_contract_0_desc;ÊÐÃñÐèÒªÎª±£ÎÀ¹úÍÁÌá¹©ËûÃÇ°ëÊýµÄ²¿¶Ó¡£;;;;;;;;;;X
city_contract_1_desc;ÊÐÃñÐèÒªÎª±£ÎÀ¹úÍÁÌá¹©ËûÃÇ´ó²¿·ÖµÄ²¿¶Ó¡£;;;;;;;;;;X
city_contract_2_desc;ÊÐÃñÐèÒªÎª±£ÎÀ¹úÍÁÌá¹©ËûÃÇ¼¸ºõËùÓÐµÄ²¿¶Ó¡£;;;;;;;;;;X
city_contract_3_desc;ÊÐÃñÐèÒªÎª±£ÎÀ¹úÍÁÌá¹©ËûÃÇËùÓÐµÄ²¿¶Ó¡£;;;;;;;;;;X
obj_become_chancellor_title;³ÉÎª[This.GetChancellorName];;;;;;;;;;X
obj_become_marshal_title;³ÉÎª[This.GetMarshalName];;;;;;;;;;X
obj_become_treasurer_title;³ÉÎª[This.GetTreasurerName];;;;;;;;;;X
obj_become_spymaster_title;³ÉÎª[This.GetSpymasterName];;;;;;;;;;X
obj_become_spiritual_title;³ÉÎª[This.GetLordSpiritualName];;;;;;;;;;X
awesome_charge_tactic;Ç¿Á¦³å·æÕ½Êõ;;;;;;;;;;X
awesomer_charge_tactic;ÊÆ²»¿Éµ²³å·æÕ½Êõ;;;;;;;;;;X
romanian;ÍßÀ­¼¸ÑÇÈË;;;;;;;;;;X
ca_town_1;´å×¯;;;;;;;;;;X
ca_town_2;´å×¯;;;;;;;;;;X
ca_town_3;´å×¯;;;;;;;;;;X
ca_town_4;´å×¯;;;;;;;;;;X
ca_town_5;´å×¯;;;;;;;;;;X
ca_town_6;´å×¯;;;;;;;;;;X
tp_barracks_1;ÐÞµÀÔºÃñ±ø¾üÓª;;;;;;;;;;X
tp_barracks_2;ÐÞµÀÔºÃñ±ø¾üÓª;;;;;;;;;;X
tp_barracks_3;ÐÞµÀÔºÃñ±ø¾üÓª;;;;;;;;;;X
tp_barracks_4;ÐÞµÀÔºÃñ±ø¾üÓª;;;;;;;;;;X
tp_barracks_5;ÐÞµÀÔºÃñ±ø¾üÓª;;;;;;;;;;X
tp_barracks_6;ÐÞµÀÔºÃñ±ø¾üÓª;;;;;;;;;;X
k_andalusia_adj;°²´ïÂ¬Ë¹;;;;;;;;;;X
DIFFRATING_0;²»¿ÉÄÜ;;;;;;;;;;X
DIFFRATING_10;¼¸ºõ²»¿ÉÄÜ;;;;;;;;;;X
DIFFRATING_20;·Ç³£À§ÄÑ;;;;;;;;;;X
DIFFRATING_30;À§ÄÑ;;;;;;;;;;X
DIFFRATING_40;±È½ÏÀ§ÄÑ;;;;;;;;;;X
DIFFRATING_50;Ò»°ã;;;;;;;;;;X
DIFFRATING_60;±È½Ï¼òµ¥;;;;;;;;;;X
DIFFRATING_70;¼òµ¥;;;;;;;;;;X
DIFFRATING_80;·Ç³£¼òµ¥;;;;;;;;;;X
DIFFRATING_90;Ì«¼òµ¥ÁË;;;;;;;;;;X
DIFFRATING_100;ºÁÎÞÒâÒå»»Ò»¸ö°É;;;;;;;;;;X
WAR_NAME_OTHER_CLAIM;$ORDER$$FIRST_ADJ$Îª$CLAIMANT$¶áÈ¡$OTHER_TITLE$Õ½Õù;;;;;;;;;;X
WAR_NAME_OTHER_DEJURECLAIM;$ORDER$$FIRST_ADJ$Îª$CLAIMANT$¶áÈ¡¹«¾ôÁìµØ$OTHER_TITLE$Õ½Õù;;;;;;;;;;X
WAR_NAME_OTHER_DEJUREBARONYCLAIM;$ORDER$$FIRST_ADJ$Îª$CLAIMANT$¶áÈ¡²®¾ôÁìµØ$OTHER_TITLE$Õ½Õù;;;;;;;;;;X
WAR_NAME_OTHER_SUCCESSION;$ORDER$$FIRST_ADJ$ÓÚ$SECOND$·öÖ²$CLAIMANT$Õ½Õù;;;;;;;;;;X
IS_NOT_DE_JURE_LIEGE_OR_ABOVE;²»ÊÇ·¨ÀíÁìÖ÷»ò¸ü¸ß¼¶ÁìÖ÷;;;;;;;;;;X
IS_DE_JURE_LIEGE_OR_ABOVE;ÊÇ·¨ÀíÁìÖ÷»ò¸ü¸ß¼¶ÁìÖ÷;;;;;;;;;;X
MAXIMUM_RAISABLE_LEVY;¸ù¾Ý·¨ÂÉ¿É¶¯Ô±µÄÕ÷ÕÙ¾ü£º§Y$VALUE$§!;;;;;;;;;;X
LEVY_PERC_DESC;ÎÒÃÇ¿É¶¯Ô±Õ÷ÕÙ¾ü×ÜÊýµÄ§Y$PERC$%§W;;;;;;;;;;X
RAISABLE_AMOUNT_LEVY;ÓÉÓÚ·¨ÂÉ(§Y$MAX$%§!)ºÍºÃ¸Ð(§Y$OPINION$%§!)£¬ÎÒÃÇ¿É¶¯Ô±Õ÷ÕÙ¾üÊýÁ¿µÄ§Y$PERCENT$%§!;;;;;;;;;;X
MINIMUM_RAISABLE_LEVY;²»¹ý£¬ÎÒÃÇ×ÜÊÇÄÜ¶¯Ô±ÖÁÉÙ§Y$PERCENT$%§!µÄÕ÷ÕÙ¾ü;;;;;;;;;;X
AI_WE_ARE_TOTALLY_BEATEN;ÎÒÃÇ±»´òµÃÆ¨¹öÄòÁ÷;;;;;;;;;;X
AI_THIS_IS_GOOD_FOR_US;ÎÒÄÜÔ¤ÆÚµ½µÄ×îºÃÇé¿ö;;;;;;;;;;X
AI_WE_ARE_WINNING_SMALL;Ê¤ÀûµÄÌìÆ½ÕýÔÚ³¯ÎÒÃÇÇãÐ±;;;;;;;;;;X
AI_WE_ARE_WINNING_BIG;Ê¤ÀûÒÑÔÚÎÒÊÖ£¬ÏÖÔÚÍ¶½µÉÐ¿ÉÈÄÄãÐ¡Ãü;;;;;;;;;;X
AI_WE_ARE_LOSING_SMALL;À´°¡£¬ÄãÕâÄïÅÚ£¡;;;;;;;;;;X
AI_WE_ARE_LOSING;Õâ²»¹ýÊÇÒ»µãÆ¤ÈâÖ®ÉË°ÕÁË£¡;;;;;;;;;;X
AI_WE_ARE_LOSING_BIG;ÎÒÕýÔÚÊ§Àû£¬µ«ÎÒ¾ø²»»á·ÅÆú¡­¡­;;;;;;;;;;X
AIREASON_OUR_PRISONER;ÊÇÎÒÃÇµÄÇô·¸;;;;;;;;;;X
CREATING_PROVINCE;ÉèÁ¢Ê¡·Ý;;;;;;;;;;X
LEDGER_OUR_CLAIMANTS;ÎÒÃÇµÄÐû³ÆÕß;;;;;;;;;;X
LEDGER_CLAIMS;Ðû³ÆÈ¨;;;;;;;;;;X
LEDGER_HEADER_VASSALS;ÄãµÄÖ±Êô·â³¼;;;;;;;;;;X
LEDGER_HEADER_ALL_VASSALS;¹úÍÁÀïµÄËùÓÐ·â³¼;;;;;;;;;;X
LEDGER_HEADER_COURTIERS;ÄãµÄ¹¬Í¢;;;;;;;;;;X
LEDGER_COUNCILLOR;ÊàÃÜ´ó³¼;;;;;;;;;;X
LEDGER_COURTIER;Í¢³¼;;;;;;;;;;X
LEDGER_PRISONER;Çô·¸;;;;;;;;;;X
LEDGER_HEADER_REALM_LEVIES;È«¹úÕ÷ÕÙ±ø;;;;;;;;;;X
LEDGER_TOTAL;×ÜÊý;;;;;;;;;;X
LEDGER_SETTLEMENT_BUILDING;ÕýÔÚ½¨Ôì£º;;;;;;;;;;X
ENDGAME_TEXT_ENDGAME;ÎÄÒÕ¸´ÐËË¼³±Ï¯¾íÅ·ÖÞ£¬·â½¨Ê±´úÇÄÈ»ÂäÏÂá¡Ä»¡£ ;;;;;;;;;;X
