HOLD_ELECTION_EFFECT;р╩Ё║я║╬ыуЩтз$TITLE$╬ыпп║ё\n;;;;;;;;;;X
ANTI_POPE_CESSATION_LOG;╖Y$ANTIPOPE$╖!ря╬╜╡╩тыйг╤та╒╫лвз║ё;;;;;;;;;;X
TRIGGER_BEST_CRUSADE_CLAIMANT;вН╪япШЁфуъ;;;;;;;;;;X
CRUSADE_DESC_DRO_3;╪хх╩╖Y$TITLE$╖!╣дмУ╧зсппМ╤ЮсепЦ╣д$RELIGION$пШЁфуъё╛дгц╢кЫсп╩Я╣ц╣даЛма╤╪╩А╦ЬвНспа╕╣д╨Ря║хк║╙║╙ожтзйг╖Y$RULER$╖!║ё╤тй╔у╫вЖЁЖ╧╠ов╣дпШЁфуъ╠╩сеох©╪бг║ё;;;;;;;;;;X
restore_pope_in_rome;й╧бчбМ╫лвз╦╢н╩║ё;;;;;;;;;;X
restore_pope_in_rome_desc;╫лвзй╖х╔ак╤тйюкваЛ╣ь╣д©ьжфё╛╡╩╧Щн╙кШ╤А╩ьсю╨Цж╝Ёгх╢йгнр╣д╥ждзж╝йб║ё;;;;;;;;;;X
opinion_restored_to_rome;╤А╩ьбчбМ;;;;;;;;;;X
opinion_creator_of_rel_heal;╢╢╫╗нр╣дж╟н╩;;;;;;;;;;X
EVTDESC_SOA_2609;╢кфОй©ме╣дцШЁфт╢втй╔╣ьяг╦Г║╓бМкЧд╙ювк╧╩РкШтзйю╫ГфДкШ╣ь╥╫╣дЁф╨Т║╙║╙║╟д╕╤Шхк╣дмю╥Р║╠й╔яе╦В║ёй╔╣ьяг╦ГфОй©мейэ[Root.Religion.GetName]╫л╩А╣д╧ы╥╫вйжЗё╛╤Ьгрё╛хГ╧Ш[Root.Religion.GetName]мЁжнуър╙гСфОй©межп╣дфОй©╥╒йдгЕо╢аЛ╣ьжп╣дкЫспрЛ╫лм╫╨мрЛ╤кё╛кШцгтР╩Аюжсзп╖цЭ║ё;;;;;;;;;;X
EVTDESC_SOA_2709;©╗юу╤Юю╜╟мфОй©мейгвНпб╪схКй╝вж╬Э╣дЁит╠║ё╦у╦уси[Root.Religion.GetName]╫л╩А╥╒╡╪╣дз╞йИеЗв╪Ёиа╒║ёуБр╩фОй©ме╣дцШЁфт╢сзр╩вЫ╢сдбк╧ажрЛ╫лм╫йжжпйу╦╢╣дра╠хюШягЁг╠╓║ёдд╦Ж [Root.Religion.GetName]ж╖╦╤╦ЬкШцг╡©╤сн╛╩╓╥яё╛кШцг╬м╩АртфДцШрЕсКрЛ╫лм╫╨мрЛ╤квВу╫рт╪╟╠ёнюР╞Ёо╣дпем╫║ё;;;;;;;;;;X
EVTDESC39100;х╥хо╫╗а╒пб╣ди╝ббфОй©ме--р╫т╨фОй©ме--╣дз╞йИря╬╜об╢О║ёкШцг╠ё╩╓╨мууаоиЗ╡║╣др╝б╥хЖюДЁ╞й╔уър╡спр╩╤нй╠╪Дак║ёожтзкШцгтРсп[Root.Religion.GetName]тзж╖ЁжкШцг╡╒╤ткШцгн╞ртжьхн║ёР╞Ёо╣д[Root.Religion.GetName]мЁжнуътзсКрЛ╫лм╫╨мрЛ╤кцг╫╩у╫й╠ю╢я╟гСкШцг╣д╟ОжЗак║ё╡╩╧ЩкШцг╡╩╩АсКдгп╘╨мвт╪╨пеяЖоЮм╛╣дхк╫╩у╫║ё;;;;;;;;;;X
EVTDESC39101;р╩п║х╨╦╩сп╣дфОй©╫╗а╒акр╩╦Жпб╣длЛжВ╫л╬Эме║ё╩Ы╤╫╨мкЫбчцей╔╣Н╣дф╤©ЮфОй©меё╗╪РЁфн╙й╔╣НфОй©меё╘ряпШйд╠ё╩╓г╟мЫй╔╣ь╣дЁ╞й╔уъ║ё[Root.Religion.GetName]мЙх╚ж╖ЁжуБр╩фОй©ме║ё╬║╧эмеюО╣дфОй©цгж╩сКрЛ╫лм╫╨мрЛ╤квВу╫ё╛╣╚[Root.Religion.GetName]мЁжнуъ╩╧йг©иртоРкШцгя╟гС╟ОжЗ║ё;;;;;;;;;;X
EVTDESC39102;р╝б╥хЖюД╣дху╤ЗбЭй╔бЙюЖр╫т╨фОй©метз[Root.Religion.GetName]╫л╩А╨миЯй╔бчбМ╣ш╧З╩й╣ш╣двйжЗоб╫╗а╒ак║ёлУ╤ыфОй©ме╨мй╔т╪╨╡фОй©мерт╪╟й╔╣НфОй©меюЮкфё╛жВр╙йгн╙ак╠ё╩╓╨мууаог╟мЫй╔╣ь╣дЁ╞й╔уъ║ё╡╩╧Щж╩р╙хн╨н[Root.Religion.GetName]т╜рБн╙╦цфОй©меж╖╦╤╡©╤с╠ёяЬ╥яё╛кШцг╬м╩Ан╙фДп╖юм║ёвВн╙р╩╦Жи╝ббфОй©меё╛кШцгж╩т╦сКрЛ╫лм╫сКрЛ╤квВу╫║ё;;;;;;;;;;X
EVTDESC_SOA_1709;й╔╟╡╤╚дАфОй©мейгйю╫ГиовНтГ╣дфОй©меж╝р╩║ё╧╚т╙370дЙё╛й╧м╫рЧпчй©╟╡╤╚дАтз╟ёхШ╤М╠хяг╩й╣швйжЗобЁиа╒акй╔╟╡╤╚дАфОй©ме║ё\n\╬║╧экШцг╪╦╟ыдЙю╢р╩ж╠╠ёЁж╣м╣Вё╛╣╚йгожтзё╛уБ╦Жи╝ббфОй©месжжьожтзйюхкцФг╟║ёкШцг╧Ф╤╗╣двзж╪йг╢скЫспоКр╙ик╨╕[Root.Religion.GetName]╩Ы╤╫м╫╣дйжжп╠ё╩╓уБп╘пем╫║ё╢кмБё╛ж╩р╙╦цмер╩╥╒ожрЛ╫лм╫╨мрЛ╤квыс╟ё╛╦цме╬м╩А╤ткШцг╫ЬппгЕо╢║ё;;;;;;;;;;X
EVTDESC_SOA_1809;р╩п╘╡╗к╧╣дсепЦу╫й©вт╥╒╫╗а╒акж╪тзн╙╨╢ню[Root.Religion.GetName]пеяЖ╤ЬовиМ╣дпб╫лме║ёкШцгЁфвт╪╨н╙Ё╓иЗ╬Эё╛╬моЯоёбч╤Ю╣бцХйЖ╣д╧е╡╗к╧╬╚с╒у╫й©дгяЫ║ёкШцгкф╨У╢РкЦ╥╒яОкШцгдгп╘спве╢╚фФи╚╡й╣дохвФцг╣д╬Эй╕╢╚мЁ║ё\n\nуБр╩╬Эйб╫лмепШйдр╙сКкЫспмЧп╡кЖбчягк╧╣б╣дре╡Зж╝хквВу╫ё╛╤Ьгр╡╩╩АхцЛЛ╫лжь╣╦фъйю╪мй╠тз╟╒ю╜╡╝╤тмБуВ╥Чу╫уЫжпр╩╟эм©╣ь╣д╦╡уч║ё;;;;;;;;;;X
EVTDESC_SOA_1209;р╩х╨йТсзку╥феи╣д╣б╤Шн╛оёмп╡╖и╝тзр╩н╩ю╢вт╨Тбчи╨╣дцШн╙╧Ч╪╙║╓╣диЯцьжВрЕуъаЛ╣╪обАхфП║ён╙║╟мРнО╨ор╩║╠╤Ь╡╩п╦╥э╤╥╣дм╛й╠ё╛╟щ©ккЧй╡╫лмем╗╧Щз╓оК╨мк╪кВ╧ею╪╬╜╫лрЕ╣дрЧ╡ь╨╛рЕю╢д╔а╥вт╪╨╣даИ╩Й║ё╟щ©ккЧй╡╫лмей╝╥ж╨цу╫ё╛╤Ьгртз[Root.Religion.GetName]дбк╧ажй©╠ЬжпсхфДйэ╩╤с╜║ё╟щ©ккЧй╡╫лмепШйд╨╢нюрак╧ю╪╫л╡╒сК╦Вжж╦ВяЫ╣дрЛ╤к╨м╤ЮиЯ╫лм╫вВу╫║ё;;;;;;;;;;X
EVTDESC88000;сп╦ЖоШо╒аВ╢╚иУ╧Цё╨р╩н╩[Root.Religion.GetName]пШ╫лй©╧Чиё║╓ра╠╬║╓хЬ╟м╧ЧрятзнВ╡╗к╧дЁ╢╕Ёиа╒р╩╦Жпб╣дцШн╙╟╒хЬпаеи╣д╫лме║ём╗╧Щй╧сц╦ВюЮфшу╘йж╤нё╛уБ╩ОиЯць╣дё╛сия╣а╥спкь╣ди╠йжвИЁи╣д©Яхх╥жвсря╬╜у╪аЛак╟╒ю╜дбль╣ди╫╪Др╙хШё╛╡╒╟я╦ц╣ьиХн╙кШцг╫лме╣двэ╡©║ёж╩спп║╡©╥ж╡п╠╘╣дпвм╫дэ╧╩Ёин╙╧Чиёнчк╫╣д╨мнчн╥╣дпем╫......;;;;;;;;;;X
donate_money_to_assassins;╬Хов 300╓ ╦Ь╧ЧхЬпаеи;;;;;;;;;;X
donate_money_to_assassins_desc;╬Хг╝╦Ь╧ЧхЬпаеию╢╩╩х║[Player.Religion.GetPietyName]Р╞Ёо╤х;;;;;;;;;;X
donate_money_to_bektashi;╬Хов 300╓ ╦Ь╟щ©ккЧй╡╫лме;;;;;;;;;;X
donate_money_to_bektashi_desc;╬Хг╝╦Ь╟щ©ккЧй╡╫лмею╢╩╩х║[Player.Religion.GetPietyName]Р╞Ёо╤х;;;;;;;;;;X
donate_money_to_knights_templar;╬ХтЫ 300╓ ╦Ьй╔╣НфОй©ме;;;;;;;;;;X
donate_money_to_knights_templar_desc;м╗╧Щ╬Хг╝╦Ьй╔╣НфОй©мерт╩╩х║Р╞Ёо╤х╨м[Root.Religion.GetName]╫л╩А╤тнржуиЗ╣двПжь║ё;;;;;;;;;;X
donate_money_to_knights_hospitaler_desc;╬Хг╝╦Ьр╫т╨фОй©мею╢╩╩х║Р╞Ёо╤х╨м[Root.Religion.GetName]╫л╩А╤тнржуиЗ╣двПжь║ё;;;;;;;;;;X
donate_money_to_teutonic_order_desc;╬Хг╝╦ЬлУ╤ыфОй©мею╢╩╩х║Р╞Ёо╤х╨м[Root.Religion.GetName]╫л╩А╤тнржуиЗ╣двПжь║ё;;;;;;;;;;X
