INTERACTION_CANNOT_INVITE_MARRIED;[Recipient.GetTitledFirstName] ╡╩дэря╩И;;;;;;;;;;X
INTERACTION_CANNOT_INVITE_CONSORT;[Recipient.GetTitledFirstName] ╡╩дэйгФ╙;;;;;;;;;;X
AIREASON_LOVER;╖Y[GetTitledFirstName]╖!йгнр╣дгИхк;;;;;;;;;;X
AIREASON_FRIEND;╖Y[GetTitledFirstName]╖!йгнр╣деСся;;;;;;;;;;X
AIREASON_WITH_LOVER;оКсКгИхк║╙║╙╖Y[GetTitledFirstName]╖!тзр╩фП;;;;;;;;;;X
PV_FORT;╠╓ющ;;;;;;;;;;X
PV_TRADE_POST;илу╩;;;;;;;;;;X
adopt_wolf_child;╢кйуяЬ╤Ым╞с╣сп╪лЁп╣дмЙх╚х╗юШ║ё;;;;;;;;;;X
EVTTOOLTIP89008;╣цж╙д╠и╠фСм╪║ё;;;;;;;;;;X
claim_on_vassal_plot_desc;╖Y$CLAIMANT$╖!уЩйтм╪йу╩ь╖Y$TITLE$╖!╣дм╥онё╛уБря╣╪жбсК╖Y$TARGET$╖!╣днДв╟ЁЕм╩;;;;;;;;;;X
EVTOPTC63011;уБспц╗дЕ║ёнрс╕╦цм╗ж╙╡боК╣ддгн╩║╝цэд╠уъ║╞║ё;;;;;;;;;;X
werewolf_howling_tooltip;уШр╧╤тветбаа╨©╫п║ё;;;;;;;;;;X
werewolf_swimming_tooltip;к╞тзмБцФё╛х╚иМй╙м╦║╜║╜;;;;;;;;;;X
SENTIMENT;╧ш╦п:;;;;;;;;;;X
GRAZING_LAND;пХр╙╦Э╤ЮдаЁ║;;;;;;;;;;X
CLAN_OPINION;╡©вЕ╧ш╦п;;;;;;;;;;X
MARRIAGE_TIES;╩ИрЖ╧ьо╣;;;;;;;;;;X
WEAK;хУ╣Ц;;;;;;;;;;X
TOO_MUCH_COMPETITION;╬╨уЫ╧Щ╪╓;;;;;;;;;;X
CREATE_FEUD;$ACTOR$сК$RECIPIENT$╫╚╠╩мохКйюЁП║ё;;;;;;;;;;X
opinion_built_temple;╫╗тЛкбцМ;;;;;;;;;;X
FORM_BLOOD_OATH_INTERACTION_TITLE;╢ОЁия╙йд;;;;;;;;;;X
INTERACTION_NO_BLOOD_BROTHER;╖Y$CLAN$╖!╡╩дэрясп╫А╟щпж╣э;;;;;;;;;;X
HAS_BLOOD_OATH_WITH;сК╖Y$CLAN$╖!спя╙йд;;;;;;;;;;X
NOT_HAS_BLOOD_OATH_WITH;сК╖Y$CLAN$╖!ц╩спя╙йд;;;;;;;;;;X
declare_feud;пШ╡╪йюЁП;;;;;;;;;;X
opinion_feud;йюЁП;;;;;;;;;;X
BLOOD_BROTHER;╫А╟щпж╣э;;;;;;;;;;X
EVTDESC505;нроРдЦ╥╒йдё╛м╗╧Щойя╙╣да╙о╣нрцг╫Ан╙пж╣эё║;;;;;;;;;;X
EVTDESC506;нр╡╩╫сйэдЦя╙йд╣дгКгС║ё;;;;;;;;;;X
INTERACTION_CANT_DOW_BLOOD_BROTHER;╡╩дэйг╫А╟щпж╣э;;;;;;;;;;X
EVTNAMEHL6;[From.Clan.GetName]йюЁП;;;;;;;;;;X
EVTDESCHL6;[From.GetBestName]╨мкШ╣дцЯжзтзнрцг╣дма╣ьио╢Ратё╛м╣гтнрцг╣дяРж╩╡╒╟С╪энрцг╣де╝хк║ё╪╢й╧кШ╨эгЕЁЧсКнрцг╣д╡©вЕ╪Д╣даЛма╩╝╥жё║╠╟╠иё╛уФ╣д╠╟╠иё╛хГ╧Шсп╩З╩Аё╛кШцгр╩╤╗╩А╠Ёеянрцг║ё;;;;;;;;;;X
EVTOPTAHL6;╣╠пд[From.Clan.GetName]║ёкШцг╨анчхысЧ║ё;;;;;;;;;;X
SHOW_OPINION;╖Y╡И©╢╡©вЕа╒Ё║╖!;;;;;;;;;;X
TOTAL_POPULATION;вэхк©з:;;;;;;;;;;X
FEUD;йюЁП;;;;;;;;;;X
FEUD_BLOOD_BROTHER;пж╣эЦрг╫;;;;;;;;;;X
CLAN_LEADER_HAS_NO_JOB;╡╩йгр╩цШйЮцэ╢СЁ╪;;;;;;;;;;X
PRESTIGE;иЫмШ;;;;;;;;;;X
FEUD_CLAN_LEADER_HAS_JOB;йгр╩цШйЮцэ╢СЁ╪;;;;;;;;;;X
EVTNAMEHL10;пж╣эж╝кю;;;;;;;;;;X
